elapsed_s,controller_id,light_state,speed_limit_mps,ego_speed_mps,x,y
0.092,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.131,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.131,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.131,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.182,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.211,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.211,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.211,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.252,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.252,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.252,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.269,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.291,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.291,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.291,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.318,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.331,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.331,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.332,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.37,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.411,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.412,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.412,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.451,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.452,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.452,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.465,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.491,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.491,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.492,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.516,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.532,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.532,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.532,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.582,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.611,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.611,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.611,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.653,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.653,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.653,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.672,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.691,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.691,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.691,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.716,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.731,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.732,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.732,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.768,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.811,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.812,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.812,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.851,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.851,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.852,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.866,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.891,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.892,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.892,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.931,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.931,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.931,136,3,0.0,0.0,611.09716796875,-116.6805419921875
0.965,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.011,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.012,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.012,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.051,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.052,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.052,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.067,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.092,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.092,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.092,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.119,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.131,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.131,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.134,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.165,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.211,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.211,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.211,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.251,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.252,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.252,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.269,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.291,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.291,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.291,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.33,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.331,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.331,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.367,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.413,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.413,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.414,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.451,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.451,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.452,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.469,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.492,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.492,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.492,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.532,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.532,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.532,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.568,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.611,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.612,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.612,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.651,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.651,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.651,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.694,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.694,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.694,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.718,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.732,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.732,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.732,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.783,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.811,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.861,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.912,136,3,0.0,0.0,611.09716796875,-116.6805419921875
1.962,136,3,0.0,0.0,611.09716796875,-116.6805419921875
2.013,136,3,0.0,0.0,611.09716796875,-116.6805419921875
2.063,136,3,0.0,0.0,611.09716796875,-116.6805419921875
2.114,136,3,0.0,0.0,611.09716796875,-116.6805419921875
2.134,136,3,0.0,0.0,611.09716796875,-116.6805419921875
2.135,136,3,0.0,0.0,611.09716796875,-116.6805419921875
2.135,136,3,0.0,0.0,611.09716796875,-116.6805419921875
2.135,136,3,0.0,0.0,611.09716796875,-116.6805419921875
2.135,136,3,0.0,0.0,611.09716796875,-116.6805419921875
2.135,136,3,0.0,0.0,611.09716796875,-116.6805419921875
2.135,136,3,0.0,0.0,611.09716796875,-116.6805419921875
2.136,136,3,0.0,0.0,611.09716796875,-116.6805419921875
2.136,136,3,0.0,0.0,611.09716796875,-116.6805419921875
2.136,136,3,0.0,0.0,611.09716796875,-116.6805419921875
2.136,136,3,0.0,0.0,611.09716796875,-116.6805419921875
2.136,136,3,0.0,0.0,611.09716796875,-116.6805419921875
2.168,136,3,0.0,0.0,611.09716796875,-116.6805419921875
2.211,136,3,0.0,0.0,611.09716796875,-116.6805419921875
2.211,136,3,0.0,0.0,611.09716796875,-116.6805419921875
2.212,136,3,0.0,0.0,611.09716796875,-116.6805419921875
2.251,136,3,0.0,0.0,611.09716796875,-116.6805419921875
2.251,136,3,0.0,0.0,611.09716796875,-116.6805419921875
2.252,136,3,0.0,0.0,611.09716796875,-116.6805419921875
